DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ex1,1,Mk10,20:16:04 22-May-2017,Argos,Z,36.1105,-74.9503,,,,,,,,,,
ex1,1,Mk10,21:55:55 22-May-2017,Argos,A,35.3802,-74.5243,209661,,,,,,,,,
ex1,1,Mk10,23:01:36 22-May-2017,Argos,0,33.9360,-81.3798,2192,18616,258,83,,,,,,
ex1,1,Mk10,23:35:35 22-May-2017,Argos,0,35.2132,-75.0621,2788,16356,475,66,,,,,,
ex1,1,Mk10,01:06:32 23-May-2017,Argos,B,35.2024,-75.2760,3003,18179,496,100,,,,,,
ex1,1,Mk10,08:38:20 23-May-2017,Argos,Z,33.8445,-68.2672,,,,,,,,,,
ex1,1,Mk10,09:00:15 23-May-2017,Argos,0,35.1905,-74.6914,4788,24709,927,178,,,,,,
ex1,1,Mk10,10:11:45 23-May-2017,Argos,0,35.3291,-74.2627,8984,161828,498,102,,,,,,
ex1,1,Mk10,10:34:30 23-May-2017,Argos,Z,37.3091,-70.2986,,,,,,,,,,
ex1,1,Mk10,12:04:40 23-May-2017,Argos,Z,35.4112,-75.6890,23021,,,,,,,,,
ex1,1,Mk10,19:59:20 23-May-2017,Argos,0,35.3300,-74.8579,8925,244424,325,74,,,,,,
ex1,1,Mk10,00:17:05 24-May-2017,Argos,0,35.2486,-75.0597,6189,48448,790,50,,,,,,
ex1,1,Mk10,08:17:58 24-May-2017,Argos,B,35.0531,-75.8813,11009,136770,886,47,,,,,,
ex1,1,Mk10,11:49:25 24-May-2017,Argos,0,35.3335,-75.0576,2042,9982,417,35,,,,,,
ex1,1,Mk10,11:49:25 24-May-2017,Argos,1,32.0103,-59.5128,944,2900,307,144,,,,,,Lat > 4 deviations from mean
ex1,1,Mk10,12:36:08 24-May-2017,Argos,0,35.2541,-75.0302,13579,235983,781,103,,,,,,
ex1,1,Mk10,13:28:22 24-May-2017,Argos,0,35.4272,-74.9250,2297,18285,288,58,,,,,,
ex1,1,Mk10,15:45:55 24-May-2017,Argos,0,35.3811,-74.6129,4535,59773,344,96,,,,,,
ex1,1,Mk10,23:52:26 24-May-2017,Argos,0,35.3602,-74.9363,6066,52753,697,70,,,,,,
ex1,1,Mk10,02:20:32 25-May-2017,Argos,1,35.2792,-74.8647,668,2413,184,100,,,,,,
ex1,1,Mk10,08:11:59 25-May-2017,Argos,1,35.2638,-74.8049,1141,2927,444,165,,,,,,
ex1,1,Mk10,09:54:23 25-May-2017,Argos,0,35.2184,-75.0617,4925,68934,351,130,,,,,,
ex1,1,Mk10,13:18:03 25-May-2017,Argos,B,35.2461,-75.0765,564,9347,34,103,,,,,,
ex1,1,Mk10,13:45:28 25-May-2017,Argos,0,35.5233,-74.8859,1689,12079,236,127,,,,,,
ex1,1,Mk10,14:39:42 25-May-2017,Argos,Z,35.4716,-75.2434,715784,,,,,,,,,
ex1,1,Mk10,19:40:25 25-May-2017,Argos,B,35.0400,-76.1655,,,,,,,,,,
ex1,1,Mk10,21:19:12 25-May-2017,Argos,B,35.7169,-74.8848,650143,,,,,,,,,
ex1,1,Mk10,22:58:53 25-May-2017,Argos,1,35.3623,-74.7948,1022,13115,79,67,,,,,,
ex1,1,Mk10,23:20:06 25-May-2017,Argos,0,36.5347,-72.7769,41516,,,,,,,,,
ex1,1,Mk10,23:35:23 25-May-2017,Argos,Z,35.3130,-74.1434,29629,,,,,,,,,
ex1,1,Mk10,01:00:45 26-May-2017,Argos,A,35.1089,-73.6469,90566,,,,,,,,,
ex1,1,Mk10,02:46:40 26-May-2017,Argos,1,35.4872,-74.7095,1381,1945,980,12,,,,,,
ex1,1,Mk10,07:59:13 26-May-2017,Argos,2,35.4931,-74.6809,268,517,139,117,,,,,,
ex1,1,Mk10,09:39:32 26-May-2017,Argos,Z,35.5839,-74.6533,4187,26788,654,80,,,,,,
ex1,1,Mk10,10:03:03 26-May-2017,Argos,0,35.7540,-74.5431,11647,145182,934,0,,,,,,
ex1,1,Mk10,15:11:03 26-May-2017,Argos,0,35.2584,-74.1074,85564,,,,,,,,,
ex1,1,Mk10,16:44:22 26-May-2017,Argos,0,35.7417,-74.6336,5213,22629,1201,67,,,,,,
ex1,1,Mk10,19:18:10 26-May-2017,Argos,B,35.8368,-76.7970,47311,,,,,,,,,
ex1,1,Mk10,21:17:19 26-May-2017,Argos,0,35.0772,-75.0579,11009,145979,830,65,,,,,,
ex1,1,Mk10,23:04:42 26-May-2017,Argos,B,34.7328,-73.8213,19352,590902,633,136,,,,,,
ex1,1,Mk10,02:21:24 27-May-2017,Argos,0,36.0526,-73.4915,12166,255636,579,57,,,,,,
ex1,1,Mk10,08:36:38 27-May-2017,Argos,A,35.4311,-74.6459,813,13025,50,65,,,,,,
ex1,1,Mk10,09:38:53 27-May-2017,Argos,A,35.4339,-74.2865,25686,561924,1174,21,,,,,,
ex1,1,Mk10,11:55:47 27-May-2017,Argos,1,27.6223,-112.6070,1218,7764,191,123,,,,,,Lat > 4 deviations from mean
ex1,1,Mk10,12:49:17 27-May-2017,Argos,Z,34.5362,-73.6865,193801,,,,,,,,,
ex1,1,Mk10,14:43:44 27-May-2017,Argos,0,35.5336,-74.7859,11324,267801,478,102,,,,,,
ex1,1,Mk10,22:29:02 27-May-2017,Argos,1,35.5712,-74.6173,1317,5537,313,132,,,,,,
ex1,1,Mk10,22:29:19 27-May-2017,Argos,B,35.1970,-76.7062,28258,894720,892,132,,,,,,
ex1,1,Mk10,00:07:30 28-May-2017,Argos,0,35.5332,-74.5901,2686,35010,206,100,,,,,,
ex1,1,Mk10,01:18:36 28-May-2017,Argos,B,35.3014,-74.7401,1196,8933,160,77,,,,,,
ex1,1,Mk10,07:38:20 28-May-2017,Argos,1,35.4443,-74.5990,1452,9472,222,51,,,,,,
ex1,1,Mk10,11:04:32 28-May-2017,Argos,B,35.3534,-74.4454,13686,610735,306,116,,,,,,
ex1,1,Mk10,14:20:44 28-May-2017,Argos,0,35.7901,-74.6058,10903,95465,1245,74,,,,,,
ex1,1,Mk10,14:21:08 28-May-2017,Argos,0,32.1582,-60.7789,10843,168689,697,129,,,,,,
ex1,1,Mk10,19:01:20 28-May-2017,Argos,0,35.3750,-74.6951,2445,5047,1184,126,,,,,,
ex1,1,Mk10,23:48:35 28-May-2017,Argos,A,35.2654,-74.7511,59519,917831,3859,106,,,,,,
ex1,1,Mk10,01:45:14 29-May-2017,Argos,1,35.4076,-74.6889,887,4028,195,91,,,,,,
ex1,1,Mk10,03:24:50 29-May-2017,Argos,0,35.2706,-74.9752,1946,8846,428,6,,,,,,
ex1,1,Mk10,12:09:50 29-May-2017,Argos,0,35.3402,-74.8976,3157,10684,932,124,,,,,,
ex1,1,Mk10,14:08:50 29-May-2017,Argos,0,35.3706,-75.3430,8396,239340,294,114,,,,,,
ex1,1,Mk10,15:43:20 29-May-2017,Argos,1,35.4785,-74.7983,962,4482,206,76,,,,,,
ex1,1,Mk10,23:26:33 29-May-2017,Argos,0,35.3205,-74.9513,1828,11244,297,63,,,,,,
ex1,1,Mk10,23:57:41 29-May-2017,Argos,0,32.7503,-86.7779,2549,32026,202,64,,,,,,
ex1,1,Mk10,01:20:37 30-May-2017,Argos,0,35.1835,-75.0614,3968,55984,281,82,,,,,,
ex1,1,Mk10,11:42:51 30-May-2017,Argos,0,35.2440,-75.0436,3484,42289,287,96,,,,,,
ex1,1,Mk10,12:14:47 30-May-2017,Argos,0,32.6905,-69.6748,96113,,,,,,,,,
ex1,1,Mk10,13:58:45 30-May-2017,Argos,0,45.1833,-121.4227,4308,16261,1141,149,,,,,,Lat > 4 deviations from mean
ex1,1,Mk10,23:47:37 30-May-2017,Argos,Z,33.0302,-82.5171,797284,,,,,,,,,
ex1,1,Mk10,00:16:29 31-May-2017,Argos,0,35.1608,-75.0232,2000,6084,657,165,,,,,,
ex1,1,Mk10,00:42:24 31-May-2017,Argos,0,35.0304,-75.2998,4672,53547,407,45,,,,,,
ex1,1,Mk10,09:54:38 31-May-2017,Argos,0,34.9660,-75.3708,26947,619692,1171,53,,,,,,
ex1,1,Mk10,11:31:15 31-May-2017,Argos,1,35.0854,-75.0417,1120,6080,206,52,,,,,,
ex1,1,Mk10,13:26:34 31-May-2017,Argos,A,34.7204,-74.6579,32175,960523,1077,85,,,,,,
ex1,1,Mk10,16:41:46 31-May-2017,Argos,A,35.3467,-75.1154,16818,336062,841,55,,,,,,
ex1,1,Mk10,21:50:39 31-May-2017,Argos,0,34.9549,-74.9423,7191,61968,834,166,,,,,,
ex1,1,Mk10,08:26:53 01-Jun-2017,Argos,Z,34.7130,-77.2883,,,,,,,,,,
ex1,1,Mk10,10:52:34 01-Jun-2017,Argos,0,35.1842,-74.9558,1975,12564,310,126,,,,,,
ex1,1,Mk10,10:53:25 01-Jun-2017,Argos,B,34.9824,-74.4072,15875,319587,788,19,,,,,,
ex1,1,Mk10,13:31:37 01-Jun-2017,Argos,A,35.1623,-74.6542,83211,,,,,,,,,
ex1,1,Mk10,13:54:56 01-Jun-2017,Argos,B,35.2468,-75.0270,1380,16540,115,79,,,,,,
ex1,1,Mk10,23:51:21 01-Jun-2017,Argos,A,35.3109,-75.0792,13936,167927,1156,39,,,,,,
ex1,1,Mk10,08:49:25 02-Jun-2017,Argos,0,35.3806,-74.5548,2907,15830,533,148,,,,,,
ex1,1,Mk10,12:04:22 02-Jun-2017,Argos,0,35.2611,-74.5833,13619,315718,587,98,,,,,,
ex1,1,Mk10,12:04:35 02-Jun-2017,Argos,A,34.8481,-74.0595,45284,,,,,,,,,
ex1,1,Mk10,13:27:24 02-Jun-2017,Argos,0,35.3342,-75.0449,5110,44511,586,120,,,,,,
ex1,1,Mk10,14:25:35 02-Jun-2017,Argos,0,35.3059,-74.9786,2666,31397,226,113,,,,,,
ex1,1,Mk10,15:58:04 02-Jun-2017,Argos,0,35.3324,-74.2839,8977,101476,794,112,,,,,,
ex1,1,Mk10,21:41:50 02-Jun-2017,Argos,0,35.0736,-75.7438,20832,438304,990,81,,,,,,
ex1,1,Mk10,23:21:12 02-Jun-2017,Argos,A,35.4078,-74.6803,225701,,,,,,,,,
ex1,1,Mk10,00:48:42 03-Jun-2017,Argos,A,35.4008,-74.7634,9408,53049,1668,166,,,,,,
ex1,1,Mk10,01:44:36 03-Jun-2017,Argos,0,35.2747,-75.3254,7204,168881,307,54,,,,,,
ex1,1,Mk10,11:45:21 03-Jun-2017,Argos,0,35.4140,-74.8566,5740,99213,332,103,,,,,,
ex1,1,Mk10,13:17:25 03-Jun-2017,Argos,0,35.2460,-74.7033,11259,223916,566,94,,,,,,
ex1,1,Mk10,17:54:57 03-Jun-2017,Argos,0,35.7617,-74.3362,18733,207251,1693,101,,,,,,
ex1,1,Mk10,21:21:54 03-Jun-2017,Argos,1,35.5788,-74.4928,1430,3770,542,126,,,,,,
ex1,1,Mk10,23:01:42 03-Jun-2017,Argos,Z,35.0442,-75.8266,549652,,,,,,,,,
ex1,1,Mk10,23:01:42 03-Jun-2017,Argos,0,35.5111,-74.7980,2311,31021,172,74,,,,,,
ex1,1,Mk10,23:51:20 03-Jun-2017,Argos,0,35.5550,-74.8913,3032,4351,2112,96,,,,,,
ex1,1,Mk10,01:21:14 04-Jun-2017,Argos,0,35.5683,-74.6804,2021,9025,452,101,,,,,,
ex1,1,Mk10,03:03:58 04-Jun-2017,Argos,0,35.6368,-74.8359,6360,125195,323,94,,,,,,
ex1,1,Mk10,09:28:10 04-Jun-2017,Argos,0,35.6721,-74.5529,1610,16518,157,93,,,,,,
ex1,1,Mk10,11:00:07 04-Jun-2017,Argos,Z,36.2219,-73.3867,652917,,,,,,,,,
ex1,1,Mk10,11:23:30 04-Jun-2017,Argos,Z,35.7093,-75.4785,,,,,,,,,,
ex1,1,Mk10,11:24:20 04-Jun-2017,Argos,0,35.4037,-74.6641,5181,50115,535,92,,,,,,
ex1,1,Mk10,19:17:55 04-Jun-2017,Argos,Z,35.3985,-75.6749,377131,,,,,,,,,
ex1,1,Mk10,22:49:24 04-Jun-2017,Argos,0,35.6358,-74.9276,5455,107409,277,49,,,,,,
ex1,1,Mk10,23:20:27 04-Jun-2017,Argos,0,35.4729,-73.9911,10313,200802,529,100,,,,,,
ex1,1,Mk10,00:59:37 05-Jun-2017,Argos,0,35.7821,-74.8082,2141,7510,610,12,,,,,,
ex1,1,Mk10,00:59:49 05-Jun-2017,Argos,1,35.6239,-74.4573,1099,3610,334,142,,,,,,
ex1,1,Mk10,02:37:40 05-Jun-2017,Argos,0,35.5143,-74.5033,6004,72227,499,91,,,,,,
ex1,1,Mk10,08:54:25 05-Jun-2017,Argos,B,35.5113,-74.5358,14865,699251,316,78,,,,,,
