DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ex1,1,Mk10,DS,1,0,1,,,23:54:45 16-May-2017,NK,,,,,,,,401650000,-135
ex1,1,Mk10,DS,5,0,4,28,19,00:53:47 17-May-2017,SR,0,35.0445,-75.3283,42.9116,-116.6478,60,,401677614,-131
ex1,1,Mk10,DS,7,1,2,,,00:53:37 17-May-2017,MA,0,35.1386,-74.8219,41.9913,-40.9210,60,,401677620,-122
ex1,1,Mk10,DS,1,0,0,,,01:41:04 17-May-2017,MB,,,,,,,,401650000,-133
ex1,1,Mk10,DS,3,0,1,38,35,02:37:10 17-May-2017,MA,Z,35.1356,-74.0832,32.0984,-89.0085,37,,401677539,-129
ex1,1,Mk10,DS,7,0,4,18,15,07:57:21 17-May-2017,NP,0,34.8151,-75.7762,31.1728,-57.5572,58,,401677575,-127
ex1,1,Mk10,DS,4,0,4,17,17,09:38:19 17-May-2017,NP,Z,34.0107,-73.4956,41.3606,-107.7355,38,,401677789,-134
ex1,1,Mk10,DS,4,0,1,17,17,10:27:49 17-May-2017,SR,0,35.1755,-74.9329,36.0653,-70.5396,68,,401650000,-120
ex1,1,Mk10,DS,4,0,2,36,17,10:28:18 17-May-2017,NK,0,28.4231,-42.5392,35.1584,-74.7653,50,,401677618,-125
ex1,1,Mk10,DS,1,0,1,,,12:02:31 17-May-2017,SR,,,,,,,,401650000,-135
ex1,1,Mk10,DS,6,0,3,23,16,13:12:24 17-May-2017,NN,1,34.9909,-74.9649,39.8926,-98.8272,68,,401650000,-128
ex1,1,Mk10,DS,7,0,4,19,15,13:12:24 17-May-2017,MA,0,35.3210,-74.7180,25.3385,-26.9942,68,,401677703,-129
ex1,1,Mk10,DS,10,0,6,17,16,19:29:11 17-May-2017,NP,0,35.1216,-75.1770,37.4474,-64.3005,68,,401677554,-119
ex1,1,Mk10,DS,5,0,1,28,19,21:40:11 17-May-2017,NK,B,34.5195,-73.5732,39.5912,-47.0614,8,,401677618,-133
ex1,1,Mk10,DS,7,0,5,16,15,22:41:35 17-May-2017,SR,1,35.0966,-74.9257,30.9151,-54.4762,68,,401677631,-120
ex1,1,Mk10,DS,6,0,0,17,15,23:23:51 17-May-2017,NK,0,34.9996,-74.9933,31.2951,-93.1609,56,,401677655,-121
ex1,1,Mk10,DS,5,0,4,68,15,01:22:55 18-May-2017,MB,2,35.0370,-75.0804,38.9965,-55.6796,68,,401677598,-131
ex1,1,Mk10,DS,3,0,2,56,43,02:14:35 18-May-2017,MA,Z,35.5328,-72.7726,34.1368,-79.5625,38,,401677558,-128
ex1,1,Mk10,DS,9,0,4,19,16,07:50:28 18-May-2017,NP,1,30.1666,-52.0492,35.1652,-74.9677,50,,401677594,-129
ex1,1,Mk10,DS,2,0,2,17,17,11:49:48 18-May-2017,NK,,,,,,,,401650000,-133
ex1,1,Mk10,DS,1,0,0,,,13:03:37 18-May-2017,NN,,,,,,,,401650000,-135
ex1,1,Mk10,DS,1,0,1,,,13:25:04 18-May-2017,NK,,,,,,,,401650000,-137
ex1,1,Mk10,DS,1,0,1,,,13:48:52 18-May-2017,MB,,,,,,,,401650000,-135
ex1,1,Mk10,DS,6,0,0,21,16,14:35:52 18-May-2017,MA,Z,35.2377,-75.9885,32.8395,-63.9877,38,,401677537,-121
ex1,1,Mk10,DS,3,0,2,27,18,16:07:14 18-May-2017,MA,A,34.5648,-73.5832,42.9326,-114.6257,8,,401677836,-130
ex1,1,Mk10,DS,1,0,0,,,20:56:08 18-May-2017,NP,,,,,,,,401650000,-129
ex1,1,Mk10,DS,3,0,0,26,17,00:08:44 19-May-2017,MA,Z,34.0301,-75.6091,44.7931,-19.3714,30,,401678004,-131
ex1,1,Mk10,DS,1,0,1,,,01:30:43 19-May-2017,SR,,,,,,,,401650000,-136
ex1,1,Mk10,DS,4,0,2,29,23,02:40:49 19-May-2017,MB,0,35.5740,-74.0033,31.4294,-94.8852,60,,401677691,-127
ex1,1,Mk10,DS,7,0,5,21,15,09:28:57 19-May-2017,SR,0,35.4281,-74.7788,42.2597,-40.7963,50,,401677581,-129
ex1,1,Mk10,DS,4,0,3,41,19,11:16:11 19-May-2017,NK,1,35.3242,-75.1617,33.4041,-65.9798,60,,401677667,-123
ex1,1,Mk10,DS,3,0,2,59,53,14:10:16 19-May-2017,MA,A,35.3216,-74.8400,31.1654,-55.0004,,,401677641,-120
ex1,1,Mk10,DS,4,0,4,36,21,15:04:05 19-May-2017,MB,0,35.2380,-74.7194,36.3038,-79.8963,60,,401677594,-125
ex1,1,Mk10,DS,7,0,6,20,18,18:58:56 19-May-2017,NP,0,35.1793,-76.3334,39.9540,-52.6577,50,,401677743,-130
ex1,1,Mk10,DS,5,0,2,29,15,20:44:47 19-May-2017,NP,0,29.4755,-101.5408,35.2078,-75.0354,50,,401677711,-132
ex1,1,Mk10,DS,8,0,3,20,16,22:31:26 19-May-2017,NN,1,35.4280,-74.7739,41.3089,-47.3170,68,,401677603,-129
ex1,1,Mk10,DS,9,0,3,17,16,22:31:26 19-May-2017,NK,Z,35.1591,-77.2339,37.0870,-67.4662,37,,401677753,-127
ex1,1,Mk10,DS,5,0,3,27,18,23:16:53 19-May-2017,SR,Z,35.4658,-76.0396,34.4842,-71.1677,38,,401677668,-119
ex1,1,Mk10,DS,2,0,1,15,15,00:44:15 20-May-2017,MB,B,35.2057,-74.5743,42.7329,-36.2588,8,,401677711,-132
